material_id,中文名,英文名,实体类型,父级ID,分类路径
gf_pa66,玻纤增强PA66,Glass-fibre-reinforced PA66,variant,polyamide,高分子材料 > 热塑性塑料 > 工程热塑性塑料 > 聚酰胺 > 玻纤增强PA66
pct,PCT,Polycyclohexylenedimethylene terephthalate,material,thermoplastic_polyesters,高分子材料 > 热塑性塑料 > 热塑性聚酯 > PCT
pen,PEN,Polyethylene naphthalate,material,thermoplastic_polyesters,高分子材料 > 热塑性塑料 > 热塑性聚酯 > PEN
petg,PETG,Glycol-modified PET,variant,pet,高分子材料 > 热塑性塑料 > 热塑性聚酯 > PETG
pp_homopolymer,均聚PP,Polypropylene homopolymer,variant,polypropylene,高分子材料 > 热塑性塑料 > 聚烯烃 > 聚丙烯 > 均聚PP
pp_block_copolymer,嵌段共聚PP,Impact copolymer polypropylene,variant,polypropylene,高分子材料 > 热塑性塑料 > 聚烯烃 > 聚丙烯 > 嵌段共聚PP
pp_random_copolymer,无规共聚PP,Random copolymer polypropylene,variant,polypropylene,高分子材料 > 热塑性塑料 > 聚烯烃 > 聚丙烯 > 无规共聚PP
gf_pp,玻纤增强PP,Glass-fibre-reinforced polypropylene,variant,polypropylene,高分子材料 > 热塑性塑料 > 聚烯烃 > 聚丙烯 > 玻纤增强PP
lgf_pp,长玻纤增强PP,Long-glass-fibre-reinforced polypropylene,variant,polypropylene,高分子材料 > 热塑性塑料 > 聚烯烃 > 聚丙烯 > 长玻纤增强PP
hdpe,HDPE,High-density polyethylene,variant,polyethylene,高分子材料 > 热塑性塑料 > 聚烯烃 > 聚乙烯 > HDPE
ldpe,LDPE,Low-density polyethylene,variant,polyethylene,高分子材料 > 热塑性塑料 > 聚烯烃 > 聚乙烯 > LDPE
lldpe,LLDPE,Linear low-density polyethylene,variant,polyethylene,高分子材料 > 热塑性塑料 > 聚烯烃 > 聚乙烯 > LLDPE
mdpe,MDPE,Medium-density polyethylene,variant,polyethylene,高分子材料 > 热塑性塑料 > 聚烯烃 > 聚乙烯 > MDPE
uhmwpe,UHMWPE,Ultra-high-molecular-weight polyethylene,variant,polyethylene,高分子材料 > 热塑性塑料 > 聚烯烃 > 聚乙烯 > UHMWPE
xlpe,XLPE,Cross-linked polyethylene,variant,polyethylene,高分子材料 > 热塑性塑料 > 聚烯烃 > 聚乙烯 > XLPE
asa,ASA,Acrylonitrile styrene acrylate,material,styrenic_polymers,高分子材料 > 热塑性塑料 > 苯乙烯类聚合物 > ASA
san,SAN,Styrene-acrylonitrile copolymer,material,styrenic_polymers,高分子材料 > 热塑性塑料 > 苯乙烯类聚合物 > SAN
eps,EPS,Expanded polystyrene,form,polystyrene,高分子材料 > 热塑性塑料 > 苯乙烯类聚合物 > 聚苯乙烯 > EPS
gpps,GPPS,General-purpose polystyrene,variant,polystyrene,高分子材料 > 热塑性塑料 > 苯乙烯类聚合物 > 聚苯乙烯 > GPPS
hips,HIPS,High-impact polystyrene,variant,polystyrene,高分子材料 > 热塑性塑料 > 苯乙烯类聚合物 > 聚苯乙烯 > HIPS
xps,XPS,Extruded polystyrene foam,form,polystyrene,高分子材料 > 热塑性塑料 > 苯乙烯类聚合物 > 聚苯乙烯 > XPS
pbat,PBAT,Polybutylene adipate terephthalate,material,biodegradable_polymers,高分子材料 > 生物可降解聚合物 > PBAT
pbs,PBS,Polybutylene succinate,material,biodegradable_polymers,高分子材料 > 生物可降解聚合物 > PBS
pcl,PCL,Polycaprolactone,material,biodegradable_polymers,高分子材料 > 生物可降解聚合物 > PCL
pga,PGA,Polyglycolic acid,material,biodegradable_polymers,高分子材料 > 生物可降解聚合物 > PGA
pha,PHA,Polyhydroxyalkanoate,material,biodegradable_polymers,高分子材料 > 生物可降解聚合物 > PHA
phb,PHB,Polyhydroxybutyrate,material,biodegradable_polymers,高分子材料 > 生物可降解聚合物 > PHB
plga,PLGA,Poly(lactic-co-glycolic acid),material,biodegradable_polymers,高分子材料 > 生物可降解聚合物 > PLGA
starch_plastic,淀粉基塑料,Starch-based plastic,material,biodegradable_polymers,高分子材料 > 生物可降解聚合物 > 淀粉基塑料
cellulose_material,纤维素材料,Cellulose material,material,biodegradable_polymers,高分子材料 > 生物可降解聚合物 > 纤维素材料
pei,PEI,Polyetherimide,material,high_performance_polymers,高分子材料 > 高性能聚合物 > PEI
pekk,PEKK,Polyetherketoneketone,material,high_performance_polymers,高分子材料 > 高性能聚合物 > PEKK
pes,PES,Polyethersulfone,material,high_performance_polymers,高分子材料 > 高性能聚合物 > PES
ppsu,PPSU,Polyphenylsulfone,material,high_performance_polymers,高分子材料 > 高性能聚合物 > PPSU
psu,PSU,Polysulfone,material,high_performance_polymers,高分子材料 > 高性能聚合物 > PSU
cf_peek,碳纤增强PEEK,Carbon-fibre-reinforced PEEK,variant,peek,高分子材料 > 高性能聚合物 > 聚芳醚酮 > PEEK > 碳纤增强PEEK
elastomers,弹性体,Elastomers,family,,高分子材料 > 弹性体
thermosetting_resins,热固性树脂,Thermosetting resins,family,,高分子材料 > 热固性树脂
fluoropolymers,含氟聚合物,Fluoropolymers,family,,高分子材料 > 热塑性塑料 > 含氟聚合物
engineering_thermoplastics,工程热塑性塑料,Engineering thermoplastics,family,,高分子材料 > 热塑性塑料 > 工程热塑性塑料
thermoplastic_polyesters,热塑性聚酯,Thermoplastic polyesters,family,,高分子材料 > 热塑性塑料 > 热塑性聚酯
polyolefins,聚烯烃,Polyolefins,family,,高分子材料 > 热塑性塑料 > 聚烯烃
styrenic_polymers,苯乙烯类聚合物,Styrenic polymers,family,,高分子材料 > 热塑性塑料 > 苯乙烯类聚合物
biodegradable_polymers,生物可降解聚合物,Biodegradable polymers,family,,高分子材料 > 生物可降解聚合物
high_performance_polymers,高性能聚合物,High-performance polymers,family,,高分子材料 > 高性能聚合物
hydroxyapatite_peek,羟基磷灰石/PEEK复合材料,Hydroxyapatite/PEEK composite,variant,peek,高分子材料 > 高性能聚合物 > 聚芳醚酮 > PEEK > 羟基磷灰石/PEEK复合材料
